timestamp,process_id,process_name,app_category,api_calls,memory_usage,create_time,label
2025-09-07T20:42:42.065681,22469,powerpnt.exe,office_app,CreateThread WaitForSingleObject CloseHandle CloseHandle,71527345.91762513,2025-09-07T19:52:42.065681,Benign
2025-09-07T20:49:46.693517,13013,powershell.exe,system_tool,CreateFileW ReadFile WriteFile CloseHandle GetLastError,54767167.585858524,2025-09-07T19:25:46.693517,Benign
2025-09-07T21:35:04.661803,23110,powerpnt.exe,office_app,CreateDirectoryW FindFirstFileW FindNextFileW FindClose,56446961.6108021,2025-09-07T21:16:04.661803,Benign
2025-09-07T22:12:16.920665,9345,code.exe,development,FindFirstFileW FindNextFileW GetFileAttributesW FindClose,28924152.32566646,2025-09-07T21:54:16.920665,Benign
2025-09-07T23:41:27.469248,17468,wmplayer.exe,media_player,VirtualAlloc VirtualProtect VirtualFree,84113067.14435947,2025-09-07T21:47:27.469248,Benign
2025-09-07T23:49:13.794935,21696,cmd.exe,system_tool,CreateFileW GetFileInformationByHandle CloseHandle,26950088.591483466,2025-09-07T23:44:13.794935,Benign
2025-09-07T23:59:40.234886,25198,code.exe,development,CreateFileW ReadFile WriteFile SetFilePointer CloseHandle,41012197.76327231,2025-09-07T23:38:40.234886,Benign
2025-09-08T00:12:03.485490,32553,wmplayer.exe,media_player,CreateThread SetThreadPriority WaitForSingleObject,61432984.49584482,2025-09-07T22:22:03.485490,Benign
2025-09-08T00:13:48.714139,2425,notepad.exe,text_editor,CreateFileW WriteFile FlushFileBuffers SetEndOfFile CloseHandle,26390457.43373367,2025-09-07T23:59:48.714139,Benign
2025-09-08T00:43:36.424560,15671,chrome.exe,web_browser,RegOpenKeyW RegSetValueW RegQueryValueW RegDeleteValueW RegCloseKey SetLastError,48811186.384987384,2025-09-07T23:53:36.424560,Benign
2025-09-08T00:50:54.877640,17139,chrome.exe,web_browser,InternetOpenW InternetConnectW HttpOpenRequestW HttpSendRequestW,66412091.00276218,2025-09-07T23:01:54.877640,Benign
2025-09-08T00:59:18.803484,8018,notepad.exe,text_editor,FindFirstFileW FindNextFileW GetFileAttributesW FindClose,69987162.18338573,2025-09-07T23:53:18.803484,Benign
2025-09-08T01:03:11.969244,28815,cmd.exe,system_tool,CreateProcessW OpenProcess GetProcessImageFileNameW WaitForSingleObject,54461850.31484988,2025-09-08T00:03:11.969244,Benign
2025-09-08T01:11:39.865281,29186,explorer.exe,file_manager,RegOpenKeyW RegEnumKeyW RegEnumValueW RegCloseKey GetLastError,39285203.10295988,2025-09-07T23:23:39.865281,Benign
2025-09-08T01:18:24.646215,5193,firefox.exe,web_browser,CreateThread CreateMutexW ReleaseMutex CloseHandle,8372179.456937917,2025-09-07T23:31:24.646215,Benign
